iter	MultiClass
0	1.093028509
1	1.087485547
2	1.082043255
3	1.076649362
4	1.071314832
5	1.066055478
6	1.060852864
7	1.055722653
8	1.050670395
9	1.045657598
10	1.040711311
11	1.035815665
12	1.030977648
13	1.026204933
14	1.021501711
15	1.016844913
16	1.012235735
17	1.007671655
18	1.003172472
19	0.9987471419
20	0.9943430477
21	0.9899923845
22	0.9857124425
23	0.9814436921
24	0.9772223216
25	0.9730994846
26	0.9689750898
27	0.9648880831
28	0.9608696584
29	0.9568678396
30	0.9529160759
31	0.9490120247
32	0.9451350409
33	0.9413085593
34	0.9375888256
35	0.9338534299
36	0.9301542586
37	0.9265049118
38	0.9228653086
39	0.9192805043
40	0.9157419759
41	0.9122327017
42	0.9087339058
43	0.9052870996
44	0.9018665767
45	0.8984856716
46	0.8951193059
47	0.8918076247
48	0.8885266282
49	0.885255621
50	0.882047031
51	0.8788450825
52	0.8756874412
53	0.8725288056
54	0.8694084491
55	0.8663281897
56	0.8632580388
57	0.8602275035
58	0.8572206807
59	0.8542518903
60	0.8512999416
61	0.8483676124
62	0.8454677098
63	0.8425850399
64	0.8397313738
65	0.8369185961
66	0.8341416552
67	0.8313632298
68	0.8286088525
69	0.8258943991
70	0.8231992559
71	0.8205202979
72	0.8178615274
73	0.815250597
74	0.8126471713
75	0.8100518133
76	0.8074826799
77	0.8049356573
78	0.8024161958
79	0.7999245931
80	0.7974479359
81	0.7950110391
82	0.7925741205
83	0.7901613998
84	0.7877740483
85	0.7853927702
86	0.7830442108
87	0.7807070587
88	0.7783906043
89	0.7761061622
90	0.7738198005
91	0.7715536692
92	0.7693168358
93	0.7671062633
94	0.7648932595
95	0.7627099442
96	0.760547935
97	0.7583943557
98	0.7562511487
99	0.7541211921
100	0.7520166854
101	0.7499445869
102	0.7478650058
103	0.7458154847
104	0.7437834667
105	0.7417817313
106	0.7397647355
107	0.7377821851
108	0.7358040691
109	0.7338579309
110	0.7319059039
111	0.7299786216
112	0.7280789739
113	0.726182999
114	0.7242964522
115	0.7224289923
116	0.7205848424
117	0.7187570134
118	0.7169197126
119	0.7151029344
120	0.7133030124
121	0.7115190481
122	0.7097303014
123	0.7079670445
124	0.7062074208
125	0.7044600092
126	0.7027277882
127	0.7010090272
128	0.699306327
129	0.6976169412
130	0.6959365593
131	0.6942600682
132	0.6926082747
133	0.6909632217
134	0.6893441876
135	0.6877529646
136	0.6861579384
137	0.6845695161
138	0.6829895494
139	0.681410405
140	0.6798594196
141	0.6783224647
142	0.6767758821
143	0.6752506975
144	0.6737273652
145	0.6722200516
146	0.6707248771
147	0.6692402031
148	0.6677572105
149	0.6662955498
150	0.6648483244
151	0.6634146004
152	0.6619821382
153	0.6605600002
154	0.6591377476
155	0.6577517606
156	0.656358185
157	0.6549629109
158	0.6535831908
159	0.6522252589
160	0.6508711451
161	0.6495179319
162	0.6481691647
163	0.6468558925
164	0.6455372307
165	0.6442462764
166	0.6429508356
167	0.6416523516
168	0.6403617772
169	0.6390844249
170	0.637808792
171	0.6365426924
172	0.635298827
173	0.6340700164
174	0.6328321795
175	0.6316176451
176	0.6304050071
177	0.6291836954
178	0.6279854899
179	0.626793522
180	0.6256000442
181	0.6244160225
182	0.6232358142
183	0.6220650603
184	0.620921004
185	0.6197815015
186	0.6186425398
187	0.617504557
188	0.6163755654
189	0.6152688482
190	0.6141609112
191	0.613053526
192	0.6119562933
193	0.6108528308
194	0.6097700652
195	0.6086773302
196	0.607603879
197	0.606538918
198	0.6054888176
199	0.60443438
200	0.6033913923
201	0.6023488366
202	0.6013149781
203	0.6002980911
204	0.5992746731
205	0.5982812414
206	0.5972928699
207	0.5962874902
208	0.5953097485
209	0.5943165695
210	0.5933461087
211	0.5924044393
212	0.5914379704
213	0.5904704999
214	0.5895159318
215	0.5885678942
216	0.5876228296
217	0.586690037
218	0.5857678156
219	0.584848192
220	0.5839324351
221	0.5830300387
222	0.5821143108
223	0.581216036
224	0.5803090894
225	0.5794128403
226	0.5785145721
227	0.5776330399
228	0.5767561157
229	0.5758724452
230	0.5749963457
231	0.574132718
232	0.5732810767
233	0.5724281198
234	0.5715899698
235	0.5707440529
236	0.5698941552
237	0.5690692655
238	0.5682458088
239	0.5674258116
240	0.5666186099
241	0.5658113771
242	0.565002444
243	0.5642090964
244	0.5634182375
245	0.5626244622
246	0.5618469979
247	0.5610611237
248	0.5602774781
249	0.5595062065
250	0.5587499839
251	0.5579835734
252	0.557219626
253	0.5564591067
254	0.5557087186
255	0.5549614461
256	0.5542218389
257	0.5534798253
258	0.5527527894
259	0.5520222835
260	0.551292675
261	0.5505720509
262	0.5498670208
263	0.5491482268
264	0.548462633
265	0.5477810588
266	0.5470773678
267	0.5463882056
268	0.5456913883
269	0.544997146
270	0.5443171194
271	0.5436491154
272	0.5430033966
273	0.5423278939
274	0.5416502338
275	0.5409859039
276	0.5403309063
277	0.539662076
278	0.5390103687
279	0.5383571938
280	0.537708645
281	0.5370821849
282	0.5364460778
283	0.5358337971
284	0.5352129149
285	0.5346003135
286	0.5339704605
287	0.5333474224
288	0.532742402
289	0.5321404267
290	0.5315263022
291	0.5309104863
292	0.5302939519
293	0.5296951047
294	0.5290998726
295	0.5285119364
296	0.5279284312
297	0.5273421534
298	0.5267570483
299	0.5261792989
300	0.5256075207
301	0.5250633349
302	0.5244958286
303	0.5239224167
304	0.5233513039
305	0.5228053158
306	0.5222691315
307	0.521719676
308	0.5211752881
309	0.5206290958
310	0.520068958
311	0.5195269968
312	0.5189767053
313	0.518503683
314	0.5179562005
315	0.517411936
316	0.5168979905
317	0.5164061121
318	0.5158697432
319	0.5153380961
320	0.5148163087
321	0.5143015232
322	0.5138163992
323	0.5132991056
324	0.512780458
325	0.5122733907
326	0.5117765234
327	0.5112928292
328	0.5107822376
329	0.5102886862
330	0.5097971528
331	0.5093122754
332	0.5088461636
333	0.5083805919
334	0.507901443
335	0.5074287153
336	0.5069673441
337	0.5065221815
338	0.5060457643
339	0.5055783448
340	0.5051321927
341	0.5046585832
342	0.5041888058
343	0.5037429465
344	0.5032950331
345	0.5028557335
346	0.5023975167
347	0.501939241
348	0.5014959122
349	0.5010541688
350	0.5006297559
351	0.5001841574
352	0.4997738445
353	0.4993543818
354	0.4989634382
355	0.4986091812
356	0.4981746322
357	0.4977795105
358	0.4973494814
359	0.4969394103
360	0.496513996
361	0.496109873
362	0.4957004231
363	0.495304473
364	0.4949050469
365	0.4944918246
366	0.4940844976
367	0.4936877887
368	0.4933519373
369	0.4929694952
370	0.4925658267
371	0.4922088011
372	0.4918108311
373	0.4914568741
374	0.4910554101
375	0.4906778916
376	0.4902794496
377	0.4899119832
378	0.4895537733
379	0.4891910465
380	0.4888212543
381	0.4884626535
382	0.4881025521
383	0.4877391339
384	0.4873633343
385	0.4869825239
386	0.4866470271
387	0.4863044144
388	0.4859411989
389	0.485595036
390	0.4852940387
391	0.4850013203
392	0.4846580914
393	0.4843228096
394	0.483981534
395	0.4836259087
396	0.4832709028
397	0.4829701122
398	0.4826198905
399	0.4822899471
400	0.4819739827
401	0.4816268536
402	0.4813028761
403	0.4809570659
404	0.4806386417
405	0.4803048549
406	0.4799580756
407	0.4796392647
408	0.4793239465
409	0.479009607
410	0.478670808
411	0.4783640832
412	0.47805636
413	0.4777530013
414	0.4774297282
415	0.4771313302
416	0.4768120044
417	0.4765156121
418	0.4762101349
419	0.4759112761
420	0.4756295704
421	0.4753327545
422	0.4750397128
423	0.4747641049
424	0.4744455676
425	0.4741807758
426	0.4738689432
427	0.4735895714
428	0.4732769101
429	0.4729923872
430	0.4726882461
431	0.4723855462
432	0.47210464
433	0.4718163257
434	0.4715484362
435	0.4712706318
436	0.4710136099
437	0.4707328525
438	0.470463617
439	0.4702207358
440	0.4699252552
441	0.4696573381
442	0.4693910189
443	0.4691017764
444	0.4688796911
445	0.4685940046
446	0.4683099269
447	0.4680478086
448	0.4677856891
449	0.4675025376
450	0.467244335
451	0.4669911157
452	0.4667471943
453	0.4664812947
454	0.4662161874
455	0.4659699232
456	0.4657034631
457	0.4654526047
458	0.4651885202
459	0.4649466425
460	0.4647150277
461	0.4644788184
462	0.4642665044
463	0.464031661
464	0.4637709154
465	0.4635343387
466	0.4633002671
467	0.4630688066
468	0.462838556
469	0.4626079742
470	0.4623790575
471	0.4621260286
472	0.4618957633
473	0.461662448
474	0.4614616167
475	0.4612327157
476	0.4610034336
477	0.4607743504
478	0.4605308577
479	0.4603082543
480	0.4601025313
481	0.4599331828
482	0.4597283634
483	0.4594903957
484	0.4592725887
485	0.4590582314
486	0.458825239
487	0.4586219873
488	0.4584112239
489	0.458199358
490	0.4579664942
491	0.4577816926
492	0.4575772063
493	0.4573447996
494	0.4571425956
495	0.4569440488
496	0.4567390241
497	0.4565389002
498	0.4563395861
499	0.4561406572
500	0.4559225997
501	0.4557202517
502	0.4555288501
503	0.4553328187
504	0.4551410777
505	0.4549454833
506	0.4547539048
507	0.454538563
508	0.4543458731
509	0.4541518808
510	0.4539696765
511	0.4537769574
512	0.4535876861
513	0.4534027969
514	0.4532008529
515	0.453030212
516	0.4528330648
517	0.4526301585
518	0.4524535846
519	0.4522737332
520	0.4521079327
521	0.4519223337
522	0.451755889
523	0.451584425
524	0.4514223892
525	0.451223725
526	0.4510306335
527	0.4508766478
528	0.4506789544
529	0.4505069243
530	0.4503415512
531	0.4501523184
532	0.4499800261
533	0.4498093835
534	0.4496445681
535	0.4494807387
536	0.4493638347
537	0.4491722388
538	0.4490242978
539	0.4488372679
540	0.4486882958
541	0.4485391973
542	0.4483771952
543	0.4481931998
544	0.4480148036
545	0.4478528335
546	0.4476992969
547	0.4475409613
548	0.4474114562
549	0.4472489834
550	0.4470917406
551	0.4469448366
552	0.4467932383
553	0.4466410695
554	0.4464940269
555	0.4463429131
556	0.4461871706
557	0.4460098173
558	0.4458714054
559	0.445719379
560	0.4455512775
561	0.4454029592
562	0.4452614919
563	0.4451142246
564	0.4450170757
565	0.4448545909
566	0.4447140664
567	0.4445650382
568	0.444418604
569	0.444280513
570	0.444137453
571	0.4439948094
572	0.4438559825
573	0.4437186982
574	0.443585012
575	0.4434514912
576	0.4433196452
577	0.443191503
578	0.4430517746
579	0.4429175004
580	0.4427787391
581	0.4426193551
582	0.4424853773
583	0.4423547958
584	0.4422805984
585	0.4421393858
586	0.4420055447
587	0.4418536548
588	0.4417607943
589	0.4416283082
590	0.4415038055
591	0.4413546012
592	0.4412038741
593	0.4410625436
594	0.4409463664
595	0.4408258434
596	0.4406938926
597	0.4405888887
598	0.4404640662
599	0.4403216305
600	0.4401900827
601	0.4401132808
602	0.4399911438
603	0.439858725
604	0.4397150804
605	0.4395700165
606	0.4394291016
607	0.439312081
608	0.4392224378
609	0.4391041155
610	0.4390012638
611	0.4389213825
612	0.4388063084
613	0.4386886436
614	0.438562924
615	0.4384475388
616	0.4383334701
617	0.4382461655
618	0.43811284
619	0.4379977947
620	0.4378665568
621	0.4377660049
622	0.4376600577
623	0.4375476859
624	0.4374389528
625	0.4373330574
626	0.4372176973
627	0.437102173
628	0.4369880214
629	0.4368746416
630	0.4367457574
631	0.4366366252
632	0.4365271077
633	0.4364141297
634	0.4363067746
635	0.4362057578
636	0.4360931684
637	0.4360000451
638	0.4358840206
639	0.4357607873
640	0.4356722014
641	0.4355652927
642	0.4354671719
643	0.4353619706
644	0.4352721308
645	0.4351868622
646	0.4350663075
647	0.4349654568
648	0.4348704593
649	0.4347758176
650	0.4346688036
651	0.4345705309
652	0.4344667503
653	0.4343715484
654	0.4342746091
655	0.434184719
656	0.434072219
657	0.43397725
658	0.4338855443
659	0.4337930227
660	0.4336770477
661	0.433582569
662	0.4334868368
663	0.4333825827
664	0.4332878807
665	0.4331930777
666	0.4330996685
667	0.4330037151
668	0.4328974944
669	0.4328093966
670	0.4327245005
671	0.4326593506
672	0.4325690666
673	0.4324733431
674	0.4323735231
675	0.4322864106
676	0.4322235528
677	0.4321354904
678	0.4320485233
679	0.4319465306
680	0.4318645656
681	0.4317811093
682	0.4316993361
683	0.4316107402
684	0.4315293572
685	0.4314500485
686	0.4313654035
687	0.4312875745
688	0.4311996869
689	0.4311322043
690	0.4310628871
691	0.4309824526
692	0.4309012951
693	0.4308159753
694	0.430726777
695	0.4306603101
696	0.4305721079
697	0.4304944472
698	0.4304064644
699	0.4303540921
700	0.4302772274
701	0.430202847
702	0.430122818
703	0.4300416295
704	0.4299548523
705	0.4298681429
706	0.4297863642
707	0.4297137034
708	0.4296432799
709	0.4295717136
710	0.4294733426
711	0.4293952221
712	0.4293249251
713	0.4292501106
714	0.4291790819
715	0.4291055858
716	0.4290230781
717	0.4289469557
718	0.4288608085
719	0.4287879569
720	0.4287071379
721	0.4286290405
722	0.4285449002
723	0.4284652846
724	0.4283955714
725	0.4283221877
726	0.4282417266
727	0.4281684196
728	0.4280894218
729	0.4280203527
730	0.427951793
731	0.4278948264
732	0.4278269217
733	0.4277783268
734	0.4277049914
735	0.4276324298
736	0.427577118
737	0.4275007625
738	0.4274503517
739	0.4273822347
740	0.4273131124
741	0.4272451578
742	0.4271939618
743	0.4271162669
744	0.4270628618
745	0.4269971316
746	0.4269357421
747	0.426882496
748	0.4268108259
749	0.4267592522
750	0.4266999806
751	0.4266388219
752	0.4265669481
753	0.4265037529
754	0.4264466906
755	0.4263851323
756	0.4263437989
757	0.4262629459
758	0.4261984706
759	0.4261416886
760	0.426057255
761	0.4259906391
762	0.4259287843
763	0.4258638278
764	0.4257970996
765	0.4257351791
766	0.4256644621
767	0.4255995099
768	0.4255409107
769	0.4254800655
770	0.4254230552
771	0.4253665265
772	0.4253056726
773	0.4252490372
774	0.4252079136
775	0.4251433771
776	0.4250813091
777	0.4250217995
778	0.4249663864
779	0.4249350455
780	0.424885357
781	0.4248231896
782	0.4247601039
783	0.4247257912
784	0.4246685172
785	0.4246046188
786	0.4245707717
787	0.4245147138
788	0.4244611238
789	0.4244064424
790	0.4243512294
791	0.4242786495
792	0.4242351504
793	0.4241832827
794	0.4241218072
795	0.4240689279
796	0.4240159022
797	0.423962695
798	0.4239101813
799	0.4238540715
800	0.4238033605
801	0.4237415416
802	0.4236812957
803	0.4236180158
804	0.4235639281
805	0.4235026814
806	0.4234535967
807	0.4233908885
808	0.4233297425
809	0.423277896
810	0.4232194319
811	0.4231835936
812	0.4231283757
813	0.4230833771
814	0.4230354774
815	0.4229926554
816	0.422926381
817	0.422900266
818	0.4228450353
819	0.4227930016
820	0.4227372685
821	0.4226762575
822	0.4226280503
823	0.4225677102
824	0.4225117786
825	0.4224633979
826	0.4224106435
827	0.4223677018
828	0.4223198256
829	0.4222618051
830	0.4222063967
831	0.4221582319
832	0.4221053396
833	0.4220562776
834	0.4220205103
835	0.4219898104
836	0.4219429054
837	0.4219178801
838	0.4218672389
839	0.4218224137
840	0.4217733135
841	0.4217281987
842	0.4216787957
843	0.42162437
844	0.4215736229
845	0.4215233331
846	0.4214696533
847	0.4214421297
848	0.4213928822
849	0.4213525858
850	0.4212992522
851	0.4212483105
852	0.4212071394
853	0.4211709613
854	0.421122846
855	0.421074935
856	0.4210348562
857	0.4209878191
858	0.4209522463
859	0.4209058055
860	0.4208556191
861	0.4208120888
862	0.420761351
863	0.4207050453
864	0.4206523056
865	0.4206001847
866	0.420542222
867	0.4205086146
868	0.4204682392
869	0.4204273211
870	0.420379197
871	0.4203385643
872	0.4203115417
873	0.4202768951
874	0.4202282187
875	0.420177318
876	0.420137117
877	0.4200920664
878	0.4200534932
879	0.4200086684
880	0.4199809087
881	0.4199361455
882	0.4198951147
883	0.4198553194
884	0.4198076501
885	0.4197713925
886	0.4197405149
887	0.4196892768
888	0.4196432637
889	0.4196040187
890	0.4195742283
891	0.4195571227
892	0.4195093954
893	0.4194680123
894	0.4194299087
895	0.4193927855
896	0.4193567329
897	0.4193042768
898	0.4192585861
899	0.4192242521
900	0.419180807
901	0.4191415663
902	0.4191049108
903	0.419063439
904	0.4190321764
905	0.4190042713
906	0.4189870097
907	0.4189426994
908	0.4188921404
909	0.4188395595
910	0.4187970362
911	0.4187682206
912	0.4187283773
913	0.4186851705
914	0.4186508461
915	0.4186157521
916	0.4185779902
917	0.4185409979
918	0.4184939926
919	0.4184571727
920	0.4184160372
921	0.4183754136
922	0.4183348184
923	0.4183145939
924	0.4182849648
925	0.4182397789
926	0.418209111
927	0.4181695631
928	0.4181354814
929	0.4181092926
930	0.4180668871
931	0.4180481504
932	0.4180150305
933	0.4179754096
934	0.4179440345
935	0.4179160347
936	0.4178874987
937	0.4178700263
938	0.4178438293
939	0.4178075252
940	0.4177655832
941	0.4177293317
942	0.4176762485
943	0.4176273343
944	0.4175951737
945	0.4175733647
946	0.4175435312
947	0.417507292
948	0.4174879466
949	0.4174497815
950	0.4174053229
951	0.4173798014
952	0.4173303362
953	0.4173000348
954	0.4172689336
955	0.4172467014
956	0.4172127805
957	0.4171827606
958	0.4171517586
959	0.4171148046
960	0.4170797352
961	0.4170490208
962	0.4170113973
963	0.4169787273
964	0.4169353648
965	0.4169018448
966	0.4168626181
967	0.4168303029
968	0.4168124852
969	0.4167841096
970	0.4167670508
971	0.4167327514
972	0.4166935584
973	0.4166561277
974	0.4166150788
975	0.4165887299
976	0.4165617295
977	0.4165255466
978	0.416496041
979	0.4164761819
980	0.416440355
981	0.4164126683
982	0.4163775592
983	0.4163430309
984	0.4163098433
985	0.4162892233
986	0.4162574403
987	0.4162413522
988	0.4162124404
989	0.4161799879
990	0.4161665382
991	0.4161307464
992	0.416088393
993	0.4160448022
994	0.4160205953
995	0.4159852219
996	0.415947488
997	0.4159209537
998	0.4158902631
999	0.4158724709
